Force (N), RPM
-34.4885167909893,-3233
-34.295760678228,-3244
-34.25127849836,-3206
-33.850938879548,-3202
-33.361634901,-3174
-32.91681310232,-3160
-32.294062584168,-3143
-31.849240785488,-3121
-31.270972447204,-3107
-30.781668468656,-3071
-30.381328849844,-3049
-29.980989231032,-3025
-29.447203072616,-3004
-28.824452554464,-2979
-28.290666396048,-2954
-27.934808957104,-2937
-27.267576259084,-2914
-27.089647539612,-2883
-26.377932661724,-2861
-25.933110863044,-2847
-25.443806884496,-2815
-24.776574186476,-2802
-24.420716747532,-2776
-24.064859308588,-2740
-23.620037509908,-2705
-23.041769171624,-2697
-22.90832263202,-2659
-22.152125574264,-2658
-21.618339415848,-2619
-21.35144633664,-2598
-20.773177998356,-2566
-20.150427480204,-2543
-19.883534400996,-2504
-19.483194782184,-2482
-18.726997724428,-2452
-18.549069004956,-2418
-17.837354127068,-2405
-17.303567968652,-2366
-16.858746169972,-2331
-16.502888731028,-2302
-16.01358475248,-2271
-15.479798594064,-2246
-15.34635205446,-2221
-14.90153025578,-2194
-14.501190636968,-2171
-14.145333198024,-2139
-13.744993579212,-2116
-13.433618320136,-2081
-12.988796521456,-2056
-12.588456902644,-2023
-12.143635103964,-1995
-11.698813305284,-1959
-11.431920226076,-1930
-11.031580607264,-1896
-10.67572316832,-1873
-10.319865729376,-1838
-9.964008290432,-1813
-9.652633031356,-1785
-9.34125777228,-1754
-8.985400333336,-1724
-8.67402507426,-1689
-8.318167635316,-1659
-7.917828016504,-1625
-7.517488397692,-1590
-7.250595318484,-1552
-6.89473787954,-1523
-6.6723269802,-1487
-6.360951721124,-1455
-6.094058641916,-1421
-5.738201202972,-1375
-5.382343764028,-1341
-5.070968504952,-1307
-4.804075425744,-1268
-4.537182346536,-1233
-4.181324907592,-1188
-3.914431828384,-1150
-3.647538749176,-1106
-3.425127849836,-1064
-3.11375259076,-1018
-2.802377331684,-974
-2.535484252476,-929
-2.313073353136,-886
-2.046180273928,-834
-1.823769374588,-786
-1.601358475248,-735
-1.423429755776,-683
-1.201018856436,-628
-0.978607957096,-575
-0.800679237624,-518
-0.66723269802,-463
-0.44482179868,-400
-0.311375259076,-342
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.44482179868,344
0.622750518152,399
0.800679237624,461
0.978607957096,515
1.201018856436,573
1.423429755776,626
1.734805014852,675
1.957215914192,731
2.2241089934,777
2.579966432344,824
2.846859511552,876
3.202716950496,917
3.55857438944,967
3.869949648516,1007
4.181324907592,1048
4.537182346536,1092
4.89303978548,1136
5.204415044556,1169
5.649236843236,1214
6.094058641916,1252
6.316469541256,1287
6.761291339936,1322
7.11714877888,1354
7.517488397692,1397
8.095756735976,1432
8.318167635316,1470
8.718507254128,1499
9.029882513204,1532
9.474704311884,1562
9.78607957096,1597
10.319865729376,1628
10.720205348188,1669
11.209509326736,1700
11.78777766502,1731
12.099152924096,1761
12.543974722776,1793
12.988796521456,1817
13.389136140268,1849
13.78947575908,1878
14.323261917496,1912
14.812565896044,1934
15.212905514856,1967
15.746691673272,1999
16.191513471952,2032
16.769781810236,2064
17.259085788784,2085
17.7928719472,2114
18.148729386144,2145
18.726997724428,2175
19.260783882844,2201
19.661123501656,2228
20.46180273928,2245
20.773177998356,2285
21.173517617168,2312
22.01867903466,2337
22.241089934,2375
22.952804811888,2411
23.79796622938,2437
24.554163287136,2464
25.13243162542,2498
25.844146503308,2539
26.066557402648,2583
27.045165359744,2592
27.267576259084,2617
28.24618421618,2652
28.779970374596,2659
29.35823871288,2693
29.892024871296,2714
30.69270410892,2751
31.270972447204,2773
31.715794245884,2795
32.605437843244,2815
32.961295282188,2855
33.539563620472,2878
34.25127849836,2901
34.962993376248,2926
35.541261714532,2957
36.164012232684,2984
36.964691470308,3011
37.631924168328,3035
38.47708558582,3048
39.055353924104,3087
39.500175722784,3114
40.300854960408,3139
40.745676759088,3159
41.323945097372,3183
42.213588694732,3195
42.969785752488,3218
43.3701253713,3243
44.215286788792,3263
44.393215508264,3288
44.3635607216853,3279
